Day,Outlook,Temperature,Humidity,Wind,Play
D1,Overcast,Mild,Normal,Strong,Yes
D2,Sunny,Mild,Normal,Strong,Yes
D3,None,Mild,High,Strong,No
D4,Sunny,Mild,High,Weak,Yes
D5,Sunny,Cool,Normal,Strong,Yes
D6,None,Cool,Normal,Strong,Yes
D7,Sunny,Mild,High,Weak,Yes
D8,Sunny,Mild,Normal,Weak,Yes
D9,Rainy,Mild,Normal,Weak,No
D10,Rainy,Cool,High,Weak,No
D11,Rainy,Mild,Normal,Weak,No
D12,Sunny,Mild,Normal,None,Yes
D13,Rainy,Hot,Normal,Weak,No
D14,Sunny,Cool,Normal,Weak,Yes
D15,Sunny,Mild,High,Weak,Yes
D16,Overcast,Mild,High,Strong,Yes
D17,Overcast,Mild,High,Weak,Yes
D18,Sunny,Cool,High,Weak,Yes
D19,None,Mild,High,Weak,No
D20,Rainy,Hot,High,Strong,No
D21,Rainy,Cool,High,Strong,No
D22,Overcast,Mild,High,Weak,Yes
D23,Overcast,Cool,Normal,Weak,Yes
D24,Sunny,Mild,High,Weak,Yes
D25,Sunny,Cool,High,Weak,Yes
D26,Rainy,Hot,High,Strong,No
D27,Overcast,Mild,None,Strong,Yes
D28,Sunny,Cool,High,Strong,Yes
D29,Overcast,Mild,Normal,Weak,Yes
D30,Rainy,Cool,Normal,Strong,Yes
D31,Overcast,Cool,High,Strong,Yes
D1,Sunny,Mild,High,Weak,Yes
D2,Overcast,Cool,High,Weak,Yes
D3,Sunny,Hot,High,Weak,No
D4,Overcast,Mild,None,Weak,Yes
D5,Overcast,Hot,Normal,Weak,Yes
D6,Sunny,Mild,High,Weak,Yes
D7,Sunny,Cool,Normal,Weak,Yes
D8,Rainy,Hot,Normal,Weak,No
D9,None,Mild,High,Weak,No
D10,Sunny,Cool,Normal,Weak,Yes
D11,Rainy,None,High,Weak,No
D12,Overcast,Cool,High,Strong,Yes
D13,Overcast,Mild,Normal,Strong,Yes
D14,Sunny,Cool,High,Weak,Yes
D15,None,Hot,Normal,Weak,No
D16,Overcast,Hot,High,Weak,No
D17,Overcast,Mild,High,Weak,Yes
D18,Overcast,Hot,High,Strong,No
D19,Overcast,Hot,Normal,Weak,Yes
D20,Rainy,Mild,Normal,None,No
D21,Overcast,Hot,Normal,Weak,Yes
D22,Rainy,Mild,Normal,Strong,No
D23,Sunny,Cool,High,Strong,Yes
D24,Sunny,Cool,Normal,Weak,Yes
D25,Rainy,Cool,Normal,Weak,Yes
D26,Overcast,Cool,High,Weak,Yes
D27,Rainy,Mild,Normal,Weak,No
D28,Sunny,Cool,High,Weak,Yes
D29,Sunny,Cool,Normal,Weak,Yes
D1,Sunny,Cool,Normal,Weak,Yes
D2,Overcast,Cool,High,Weak,Yes
D3,None,Cool,Normal,Weak,Yes
D4,Sunny,Cool,Normal,Weak,Yes
D5,Overcast,Cool,Normal,Weak,Yes
D6,Sunny,None,High,Weak,No
D7,Sunny,Mild,Normal,Strong,Yes
D8,Rainy,None,High,Weak,No
D9,Rainy,Hot,Normal,Strong,No
D10,Sunny,Mild,High,None,No
D11,Overcast,Cool,Normal,Weak,Yes
D12,Overcast,Hot,Normal,Weak,Yes
D13,Sunny,Cool,Normal,Weak,Yes
D14,Rainy,Mild,Normal,None,No
D15,Sunny,Mild,Normal,Weak,Yes
D16,Rainy,Hot,Normal,Weak,No
D17,Overcast,Cool,High,Weak,Yes
D18,Sunny,Mild,Normal,Weak,Yes
D19,Sunny,Cool,Normal,Weak,Yes
D20,Overcast,Cool,Normal,Weak,Yes
D21,Sunny,Mild,High,Strong,No
D22,None,Cool,High,Strong,No
D23,Sunny,Cool,Normal,Strong,Yes
D24,Rainy,None,High,Weak,No
D25,Overcast,Cool,High,Strong,Yes
D26,Overcast,Hot,High,Weak,No
D27,Sunny,Cool,High,Weak,Yes
D28,Rainy,Mild,High,Weak,No
D29,Sunny,None,Normal,Weak,No
D30,Sunny,Hot,Normal,Weak,No
D31,Rainy,Mild,High,Weak,No
D1,Overcast,Hot,Normal,Weak,Yes
D2,Sunny,Cool,Normal,Weak,Yes
D3,Overcast,Cool,High,Weak,Yes
D4,Sunny,Cool,High,Weak,Yes
D5,Sunny,Hot,High,Weak,No
D6,Overcast,Hot,Normal,Weak,Yes
D7,Sunny,Hot,Normal,Weak,Yes
D8,Rainy,Cool,High,Strong,No
D9,Rainy,Cool,Normal,Weak,Yes
D10,Rainy,Mild,Normal,Weak,Yes
D11,None,Cool,Normal,Strong,Yes
D12,Overcast,Cool,Normal,Weak,Yes
D13,Rainy,Cool,High,Strong,No
D14,Rainy,Cool,Normal,Weak,Yes
D15,Overcast,Mild,Normal,Strong,Yes
D16,Sunny,Cool,Normal,Weak,Yes
D17,Rainy,Cool,High,Weak,No
D18,Overcast,Mild,High,Weak,Yes
D19,Overcast,Mild,Normal,Weak,Yes
D20,Rainy,Hot,High,Weak,No
D21,None,Mild,Normal,Weak,No
D22,Sunny,Hot,High,Weak,No
D23,Sunny,Mild,Normal,Strong,Yes
D24,Rainy,Cool,High,Weak,Yes
D25,Sunny,Cool,Normal,Weak,Yes
D26,None,Mild,Normal,Weak,No
D27,Overcast,Hot,High,Weak,No
D28,Rainy,Hot,Normal,Weak,No
D29,Sunny,Cool,Normal,Weak,Yes
D30,Rainy,Cool,High,Weak,Yes
D1,Rainy,Mild,Normal,Weak,No
D2,None,Mild,Normal,Strong,No
D3,Overcast,Hot,None,Strong,No
D4,Overcast,Cool,Normal,Weak,Yes
D5,Rainy,Mild,High,Strong,No
D6,Overcast,Mild,High,Weak,Yes
D7,Rainy,Cool,None,Weak,Yes
D8,Overcast,Hot,Normal,Strong,Yes
D9,Overcast,Mild,High,Strong,Yes
D10,Rainy,Cool,Normal,None,No
D11,Overcast,Cool,High,None,Yes
D12,Sunny,Hot,Normal,Weak,Yes
D13,Rainy,Cool,Normal,Weak,Yes
D14,Sunny,Mild,Normal,Weak,Yes
D15,Overcast,Hot,High,Weak,Yes
D16,Sunny,Hot,High,Weak,No
D17,Sunny,Cool,High,Strong,No
D18,Rainy,Cool,None,Weak,Yes
D19,Rainy,Hot,Normal,Weak,No
D20,Overcast,Cool,Normal,Weak,Yes
D21,Sunny,Mild,Normal,Weak,Yes
D22,Overcast,Cool,Normal,Weak,Yes
D23,Sunny,Hot,High,Weak,No
D24,Rainy,Cool,Normal,Weak,Yes
D25,Overcast,Mild,Normal,Strong,Yes
D26,Rainy,Hot,Normal,Weak,No
D27,None,Cool,Normal,Strong,Yes
D28,None,Hot,Normal,Weak,No
D29,Sunny,Cool,Normal,Weak,Yes
D30,Rainy,Mild,Normal,Strong,No
D31,Rainy,Cool,High,Weak,No
D1,Rainy,Cool,High,Weak,No
D2,Rainy,Hot,High,Weak,No
D3,Sunny,None,High,None,No
D4,Rainy,Mild,High,Strong,No
D5,Sunny,Hot,Normal,Weak,No
D6,Overcast,Cool,High,Weak,Yes
D7,Overcast,Mild,Normal,Weak,Yes
D8,Sunny,Cool,Normal,Weak,Yes
D9,Overcast,Hot,Normal,Strong,Yes
D10,Sunny,Hot,Normal,Weak,No
D11,Rainy,Mild,Normal,Weak,Yes
D12,Overcast,Mild,High,Strong,Yes
D13,Sunny,Mild,Normal,Weak,Yes
D14,Overcast,Mild,High,None,No
D15,Sunny,Mild,Normal,Strong,No
D16,None,Mild,High,Weak,No
D17,Rainy,Cool,Normal,Strong,No
D18,Sunny,Hot,Normal,Weak,Yes
D19,Overcast,Hot,Normal,None,Yes
D20,Sunny,Cool,High,Weak,Yes
D21,Overcast,Cool,High,Weak,Yes
D22,Overcast,Hot,High,Weak,Yes
D23,Rainy,Cool,Normal,Weak,Yes
D24,Sunny,Hot,Normal,Strong,No
D25,Rainy,Hot,High,Weak,No
D26,Rainy,Mild,High,Weak,No
D27,Rainy,Mild,High,Weak,No
D28,Rainy,Mild,High,Weak,No
D29,None,Cool,High,Weak,No
D30,Overcast,Cool,High,Strong,Yes
D1,Overcast,Cool,Normal,Weak,Yes
D2,Sunny,Mild,High,Weak,Yes
D3,None,Hot,Normal,Weak,No
D4,Sunny,Cool,High,Strong,No
D5,Rainy,Cool,Normal,None,Yes
D6,Overcast,Hot,High,Weak,No
D7,Overcast,Hot,Normal,Weak,Yes
D8,Rainy,Mild,High,Strong,No
D9,Overcast,Mild,High,Weak,Yes
D10,Sunny,Mild,High,Weak,Yes
D11,Rainy,Hot,None,Weak,No
D12,Sunny,Cool,Normal,Weak,Yes
D13,Sunny,Hot,Normal,Weak,Yes
D14,Sunny,Cool,High,Weak,Yes
D15,Overcast,Cool,Normal,Strong,Yes
D16,Sunny,Hot,Normal,Weak,Yes
D17,Sunny,Cool,Normal,Weak,Yes
D18,Sunny,Cool,Normal,Weak,Yes
D19,Sunny,Mild,High,Strong,No
D20,Overcast,Mild,Normal,Weak,Yes
D21,Sunny,Cool,Normal,Weak,Yes
D22,Rainy,Cool,None,Strong,No
D23,None,Cool,Normal,Weak,Yes
D24,Sunny,Cool,Normal,Weak,Yes
D25,Rainy,Cool,High,Weak,Yes
D26,Overcast,None,Normal,Weak,Yes
D27,Rainy,Mild,High,Strong,No
D28,Sunny,Mild,Normal,None,Yes
D29,Sunny,Cool,High,Strong,Yes
D30,Sunny,Cool,High,Strong,Yes
D31,Sunny,Mild,Normal,Strong,No
D1,Sunny,Mild,None,Weak,No
D2,Overcast,Hot,Normal,Weak,Yes
D3,Rainy,Hot,High,Weak,No
D4,Overcast,Cool,High,Strong,Yes
D5,Overcast,Mild,High,Weak,Yes
D6,Overcast,None,Normal,Weak,Yes
D7,Rainy,None,Normal,Weak,No
D8,Sunny,Mild,High,None,No
D9,Overcast,Hot,High,Weak,Yes
D10,Overcast,Mild,High,Strong,Yes
D11,Rainy,Cool,High,None,No
D12,Overcast,Cool,Normal,Weak,Yes
D13,Sunny,Hot,Normal,Weak,No
D14,Rainy,Hot,High,Strong,No
D15,Rainy,Cool,Normal,Weak,Yes
D16,Sunny,Mild,Normal,Strong,Yes
D17,Rainy,Mild,Normal,Strong,No
D18,Sunny,Hot,Normal,Strong,No
D19,Rainy,Mild,High,Strong,No
D20,Overcast,Cool,Normal,Weak,Yes
D21,Overcast,Cool,Normal,Weak,Yes
D22,None,Mild,Normal,Weak,Yes
D23,Sunny,Mild,High,Weak,Yes
D24,Overcast,Mild,Normal,Weak,Yes
D25,Overcast,None,Normal,Weak,Yes
D26,Overcast,Hot,Normal,Weak,Yes
D27,Sunny,Mild,High,Weak,No
D28,Sunny,Hot,Normal,Strong,No
D29,Sunny,Mild,Normal,Strong,No
D30,Sunny,Mild,Normal,None,No
D31,Overcast,Hot,Normal,Weak,Yes
D1,Overcast,Cool,Normal,Weak,Yes
D2,Rainy,Cool,Normal,Strong,Yes
D3,Rainy,Cool,Normal,Weak,Yes
D4,Overcast,Mild,Normal,Weak,Yes
D5,Sunny,Hot,Normal,Weak,Yes
D6,Overcast,Hot,High,None,No
D7,Rainy,Cool,Normal,Strong,No
D8,Sunny,Cool,Normal,Weak,Yes
D9,Rainy,Hot,Normal,Weak,No
D10,Overcast,Mild,Normal,Strong,Yes
D11,Rainy,Hot,High,Strong,No
D12,Overcast,Mild,High,None,Yes
D13,Rainy,Mild,High,Strong,No
D14,Rainy,Cool,Normal,Weak,Yes
D15,Overcast,Hot,Normal,Weak,Yes
D16,Overcast,Cool,High,Weak,Yes
D17,Rainy,None,High,Weak,No
D18,Overcast,Hot,High,Strong,No
D19,None,Mild,High,Weak,No
D20,Sunny,Hot,High,Strong,No
D21,Overcast,Cool,Normal,Weak,Yes
D22,None,Cool,None,Weak,Yes
D23,Overcast,Hot,Normal,Strong,Yes
D24,Rainy,Cool,None,Strong,No
D25,Rainy,Cool,High,Strong,No
D26,Overcast,Cool,High,Strong,Yes
D27,Rainy,Cool,High,Weak,Yes
D28,Sunny,Cool,Normal,Weak,Yes
D29,None,Hot,High,Weak,No
D30,Rainy,Cool,Normal,Strong,No
D1,Rainy,Cool,High,Weak,Yes
D2,Overcast,Cool,Normal,Weak,Yes
